index,creature_file,egg_file,creature_source,egg_source,notes
1,creatures/creature_001.png,eggs/egg_001.png,grid_pairrow_01_creature_col_01,grid_pairrow_01_egg_col_01,
2,creatures/creature_002.png,eggs/egg_002.png,grid_pairrow_01_creature_col_02,grid_pairrow_01_egg_col_02,
3,creatures/creature_003.png,eggs/egg_003.png,grid_pairrow_01_creature_col_03,grid_pairrow_01_egg_col_03,
4,creatures/creature_004.png,eggs/egg_004.png,grid_pairrow_01_creature_col_04,grid_pairrow_01_egg_col_04,
5,creatures/creature_005.png,eggs/egg_005.png,grid_pairrow_01_creature_col_05,grid_pairrow_01_egg_col_05,
6,creatures/creature_006.png,eggs/egg_006.png,grid_pairrow_01_creature_col_06,grid_pairrow_01_egg_col_06,
7,creatures/creature_007.png,eggs/egg_007.png,grid_pairrow_01_creature_col_07,grid_pairrow_01_egg_col_07,
8,creatures/creature_008.png,eggs/egg_008.png,grid_pairrow_01_creature_col_08,grid_pairrow_01_egg_col_08,
9,creatures/creature_009.png,eggs/egg_009.png,grid_pairrow_01_creature_col_09,grid_pairrow_01_egg_col_09,
10,creatures/creature_010.png,eggs/egg_010.png,grid_pairrow_01_creature_col_10,grid_pairrow_01_egg_col_10,
11,creatures/creature_011.png,eggs/egg_011.png,grid_pairrow_01_creature_col_11,grid_pairrow_01_egg_col_11,
12,creatures/creature_012.png,eggs/egg_012.png,grid_pairrow_01_creature_col_12,grid_pairrow_01_egg_col_12,
13,creatures/creature_013.png,eggs/egg_013.png,grid_pairrow_01_creature_col_13,grid_pairrow_01_egg_col_13,
14,creatures/creature_014.png,eggs/egg_014.png,grid_pairrow_01_creature_col_14,grid_pairrow_01_egg_col_14,
15,creatures/creature_015.png,eggs/egg_015.png,grid_pairrow_01_creature_col_15,grid_pairrow_01_egg_col_15,
16,creatures/creature_016.png,eggs/egg_016.png,grid_pairrow_02_creature_col_01,grid_pairrow_02_egg_col_01,
17,creatures/creature_017.png,eggs/egg_017.png,grid_pairrow_02_creature_col_02,grid_pairrow_02_egg_col_02,
18,creatures/creature_018.png,eggs/egg_018.png,grid_pairrow_02_creature_col_03,grid_pairrow_02_egg_col_03,
19,creatures/creature_019.png,eggs/egg_019.png,grid_pairrow_02_creature_col_04,grid_pairrow_02_egg_col_04,
20,creatures/creature_020.png,eggs/egg_020.png,grid_pairrow_02_creature_col_05,grid_pairrow_02_egg_col_05,
21,creatures/creature_021.png,eggs/egg_021.png,grid_pairrow_02_creature_col_06,grid_pairrow_02_egg_col_06,
22,creatures/creature_022.png,eggs/egg_022.png,grid_pairrow_02_creature_col_07,grid_pairrow_02_egg_col_07,
23,creatures/creature_023.png,eggs/egg_023.png,grid_pairrow_02_creature_col_08,grid_pairrow_02_egg_col_08,
24,creatures/creature_024.png,eggs/egg_024.png,grid_pairrow_02_creature_col_09,grid_pairrow_02_egg_col_09,
25,creatures/creature_025.png,eggs/egg_025.png,grid_pairrow_02_creature_col_10,grid_pairrow_02_egg_col_10,
26,creatures/creature_026.png,eggs/egg_026.png,grid_pairrow_02_creature_col_11,grid_pairrow_02_egg_col_11,
